name	park	material	duration	height	inversions	length	speed	manufacturer	airtime_rating	intensity_rating	smoothness_rating	type	theming_rating	overall
Anaconda	Kings Dominion	steel	1:50	144	4	2700	50	Arrow Dynmics	1	3	2	Custom looper	1	5
Dominator	Kings Dominion	steel	2:06	148	5	4210	65	B&M	2	6	9	floorless	1	10
Volcano	Kings Dominion	steel	1:10	155	4	2757	75	Intimin AG	1	8	10	inverted impulse	7	10
Flight of Fear	Kings Dominion	steel	1:05	74	4	2705	54	Premier Rides	4	5	8	Spaghetti bowl	10	10
Backlot Stunt Coaster	Kings Dominion	steel	2:00	45	0	1960	40	Premier Rides	6	3	9	Launched	10	9
Shockwave	Kings Dominion	steel	2:00	95	1	2231	50	Togo	5	4	2	Stand up	1	5
Rebel Yell	Kings Dominion	wood	2:30	85	0	3368	56	PTC	9	3	8	Woodie	1	8
Grizzly	Kings Dominion	wood	2:30	87	0	3150	51	PTC	8	5	6	Woodie	1	10
Hurler	Kings Dominion	wood	2:00	83	0	3157	50	International coasters inc. 	6	4	5	Woodie	1	7
Ricochet	Kings Dominion	steel	3:00	51	0	1312	35	MACK	3	2	10	Wild Mouse	1	8
Avalanche	Kings Dominion	steel	1:30	69	0	3200	41	MACK	2	2	9	Bob sleigh	3	9
Woodstock Express	Kings Dominion	wood	2:00	35	0	1385	35	Philedelphia Toboggan co.	7	1	7	Blue Woodie	2	6
Intimidator	Kings Dominion	steel	3:00	305	0	5100	90	Intamin	9	10	6	Giga	3	10
Great Pumkin Coaster	Kings Dominion	steel	1:00	8	0	200	20	Miller coaster company	4	1	10	Kids	5	8
Mind Eraser	Six Flags America	steel	1:36	109	5	2260	49	Vekoma	2	4	1	SLC	1	1
Superman ride of stell	Six Flags America	steel	2:10	197	0	5400	73	Intamin	7	5	8	Hyper	4	6
Apocalypse	Six Flags America	steel	2:00	100	2	2900	55	B&M	1	3	4	Stand up	8	3
Jokers Jinx	Six Flags America	steel	0:56	78	4	2705	60	Premier Rides	5	5	6	Spaghetti bowl	4	5
Batwing	Six Flags America	steel	2:02	115	5	3340	50	Vekoma	1	5	7	Flying Dutchman	3	10
Roar	Six Flags America	wood	1:52	94	0	3468	50	GCI	6	8	4	Woodie	1	4
Wild One	Six Flags America	wood	1:52	98	0	4000	53	Dinn Corporation	7	4	6	Woodie	1	6
Alpengeist	Busch Gardens	steel	3:10	195	6	3828	67	B&M	2	6	8	inverted	4	9
Apollo's Chariot	Busch Gardens	steel	2:15	210	0	4882	73	B&M	10	7	10	Hyper	1	10
Griffon	Busch Gardens	steel	3:00	205	2	3108	71	B&M	2	7	10	Dive	1	9
Lochness Monster	Busch Gardens	steel	2:10	130	2	3240	60	Arrow Dynmics	2	3	7	Custom looper	1	7
Verbolten	Busch Gardens	steel	3:25	88	0	2835	53	Zierer	5	6	10		10	4
Banshee	Kings Island	steel	2:40	167	7	4124	68	B&M	2	5	10	Invert	2	10
Firehawk	Kings Island	steel	2:10	115	5	3340	50	Vekoma	1	5	7	Flying Dutchman	3	10
Beast	Kings Island	wood	4:10	110	0	7359	64		9	8	6	Woodie	1	8